Industry,Country
Adobe Research,USA
AI2,USA
AITRICS,South Korea
Alibaba,China
Amazon,USA
Ant Group,China
Apple,USA
Arvenware,Iran
ASAPP,USA
Baidu Inc.,China
BlueShift,USA
ByteDance,China
Cognizant,USA
DeepMind,UK
Denso Corp.,Japan
DFKI,Germany
eBay Inc.,USA
Eigen Technologies,China
Elan Microelectronics Corp.,Taiwan
Elecholic,China
Element AI,Canada
Facebook,USA
Facebook AI Research,USA
Futurewei,USA
GE Global Research,USA
Google,USA
Google AI,USA
Google Brain,USA
Helmholtz AI,Germany
Horizon Robotics,China
Huawei Inc.,China
Hugging Face,USA
IBM,USA
iFLYTEK,China
IIAI,UAE
IMEC,USA
Indico,USA
Intel Corp.,USA
Intellifusion Inc.,China
JD Explore,China
Kakao Brain,South Korea
Kongsberg Seatex,Norway
LG CNS,South Korea
Line Plus Corp.,South Korea
Lunit Inc.,South Korea
Malong LLC,USA
Megvii,China
Meituan Inc.,China
Microsoft,USA
Microsoft Asia,China
Microsoft Cloud AI,USA
Momenta,China
Naver Corp.,South Korea
PicsArt Inc.,USA
Pinterest,USA
Preferred Networks,Japan
Qihoo 360,China
Qualcomm,USA
Salesforce,USA
Samsung,South Korea
Sea AI Lab,Singapore
SenseTime,Hong Kong
Sensifai,Belgium
Shannon AI,China
SmartMore,Hong Kong
Snap,USA
SnowCloud AI,China
Studio Ousia,Japan
Technicolor,France
Tencent,China
Thales,France
TuSimple,China
Uber,USA
Valeo,France
Wormpex AI Research,China
Xiaomi,China
XL8 Inc.,USA
XNOR AI,USA
YITU Technology,China
ZEISS Microscopy,Germany
